date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-04-07,37.918,37.9863,36.8124,37.0922,2584538,2584538,-0.832612,-2.195,37.3411,"Apr 7, 14",0.029189627138584126
2014-04-08,36.9967,37.5358,36.7305,37.3038,1842491,1842491,0.211565,0.57,37.2435,"Apr 8, 14",0.035060848718930636
2014-04-09,37.9275,38.0438,37.1989,38.0164,2017519,2017519,0.712628,1.91,37.6557,"Apr 9, 14",0.05483321402211971
2014-04-10,38.0164,38.0623,36.874,36.9766,1966409,1966409,-1.0399,-2.735,37.1492,"Apr 10, 14",0.025982097768602812
2014-04-11,36.7303,36.9766,36.0188,36.1009,2591968,2591968,-0.875668,-2.368,36.359,"Apr 11, 14",0.001684230387178878
2014-04-14,36.3882,36.4286,35.7845,36.0188,2840577,2840577,-0.082097,-0.227,36.0758,"Apr 14, 14",-0.000593781388560548
2014-04-15,36.1488,36.5045,35.5468,36.3335,2172515,2172515,0.314696,0.874,36.0595,"Apr 15, 14",0.008138134638542575
2014-04-16,36.6345,36.785,36.4293,36.7234,1243513,1243513,0.389948,1.073,36.6382,"Apr 16, 14",0.01895660956376489
2014-04-17,36.7645,37.5512,36.6756,37.387,2061997,2061997,0.663592,1.807,37.2922,"Apr 17, 14",0.03736938196791366
2014-04-21,37.3597,37.4897,37.1681,37.4144,1185867,1185867,0.027366,0.073,37.3851,"Apr 21, 14",0.03812964411962203
2014-04-22,37.4212,38.037,37.3049,37.606,1475541,1475541,0.191551,0.512,37.7774,"Apr 22, 14",0.04344592982280906
2014-04-23,37.5239,37.7633,37.333,37.6333,894232,894232,0.027366,0.073,37.6048,"Apr 23, 14",0.04420341729513154
2014-04-24,37.7838,37.9822,37.3255,37.818,1806441,1806441,0.184711,0.491,37.7674,"Apr 24, 14",0.04932825012069853
2014-04-25,37.7975,37.7975,36.9903,37.2092,1580495,1580495,-0.608863,-1.61,37.2597,"Apr 25, 14",0.03243600201996671
2014-04-28,37.5239,37.5786,36.1625,36.7577,3009046,3009046,-0.451519,-1.213,36.6717,"Apr 28, 14",0.0199083245930933
2014-04-29,36.4566,36.6345,35.5536,36.4635,3359741,3359741,-0.294169,-0.8,36.2172,"Apr 29, 14",0.011745217840078708
2014-04-30,36.5524,36.9903,36.2719,36.9697,1678627,1678627,0.506247,1.388,36.842,"Apr 30, 14",0.02579064489098297
2014-05-01,36.9013,37.5375,36.7098,37.2639,1472407,1472407,0.294171,0.796,37.2017,"May 1, 14",0.03395375164399756
2014-05-02,37.2844,37.6196,37.0039,37.3118,2080946,2080946,0.047887,0.129,37.3463,"May 2, 14",0.03528282306979427
2014-05-05,37.1544,37.8625,36.8657,37.8522,2087256,2087256,0.540455,1.448,37.6004,"May 5, 14",0.05027719047064125
2014-05-06,37.6812,37.9343,37.2571,37.6333,2224227,2224227,-0.21892,-0.578,38.0651,"May 6, 14",0.04420341729513154
2014-05-07,37.7154,37.7154,37.1271,37.647,2219204,2219204,0.013683,0.036,37.399,"May 7, 14",0.04458354837098573
2014-05-08,37.647,38.4064,37.4144,37.8317,2209139,2209139,0.184714,0.491,37.9481,"May 8, 14",0.04970838119655272
2014-05-09,37.8044,38.0575,37.4965,37.8933,1287905,1287905,0.061571,0.163,37.7509,"May 9, 14",0.05141758369820381
2014-05-12,38.0233,38.7348,37.948,38.5911,2042132,2042132,0.697798,1.841,38.4579,"May 12, 14",0.0707792964522949
2014-05-13,38.7416,38.981,38.5842,38.8784,1465527,1465527,0.287331,0.745,38.8766,"May 13, 14",0.07875095032768965
2014-05-14,38.8442,38.8511,38.1054,38.208,2591684,2591684,-0.670438,-1.724,38.3137,"May 14, 14",0.06014949972530673
2014-05-15,37.3528,38.4132,36.7713,37.2776,5740663,5740663,-0.9304,-2.435,37.334,"May 15, 14",0.03433388271985175
2014-05-16,37.2092,37.7154,36.8876,37.647,2405753,2405753,0.369424,0.991,37.4932,"May 16, 14",0.04458354837098573
2014-05-19,37.5581,37.7811,37.4212,37.606,2742131,2742131,-0.041049,-0.109,37.6064,"May 19, 14",0.04344592982280906
2014-05-20,37.5375,37.5991,37.0853,37.1544,1840126,1840126,-0.451517,-1.201,38.7282,"May 20, 14",0.030915477716549962
2014-05-21,37.3392,37.7223,37.2434,37.6196,1102300,1102300,0.465202,1.252,37.5636,"May 21, 14",0.043823286219277356
2014-05-22,37.6265,38.1122,37.5512,37.9959,1686139,1686139,0.376266,1,37.9582,"May 22, 14",0.054264404748031375
2014-05-23,38.0712,38.4611,37.7462,38.4337,3510829,3510829,0.43783,1.152,38.157,"May 23, 14",0.0664119510990506
2014-05-27,38.5227,38.6527,38.3311,38.5022,1190619,1190619,0.068415,0.178,38.5078,"May 27, 14",0.06831260647832152
2014-05-28,38.5911,39.1521,38.5227,39.07,1807185,1807185,0.567818,1.475,38.9878,"May 28, 14",0.08406723603087668
2014-05-29,39.1179,39.2547,38.7484,38.9674,1558720,1558720,-0.102618,-0.263,38.9487,"May 29, 14",0.08122041498104891
2014-05-30,38.9058,39.07,38.4748,38.9537,2547039,2547039,-0.013684,-0.035,38.7858,"May 30, 14",0.08084028390519474
2014-06-02,38.9674,38.9879,38.5158,38.9195,1274846,1274846,-0.034203,-0.088,38.7644,"Jun 2, 14",0.07989134355525221
2014-06-03,38.81,39.3299,38.7758,39.1452,1842298,1842298,0.225759,0.58,39.0392,"Jun 3, 14",0.08615379492899607
2014-06-04,39.0084,39.3231,38.9674,39.3026,1145664,1145664,0.157347,0.402,39.1932,"Jun 4, 14",0.09052114028224038
2014-06-05,39.3026,40.1919,39.2752,40.0893,1833063,1833063,0.786734,2.002,39.9031,"Jun 5, 14",0.11234954301030524
2014-06-06,40.0756,40.5545,39.932,40.3698,1285879,1285879,0.28049,0.7,40.3612,"Jun 6, 14",0.12013251868746565
2014-06-09,40.363,40.7597,40.1577,40.5545,1188782,1188782,0.184713,0.458,40.5683,"Jun 9, 14",0.12525735151303263
2014-06-10,40.4724,40.534,40.0756,40.2877,1267805,1267805,-0.266808,-0.658,40.2657,"Jun 10, 14",0.11785450691172641
2014-06-11,39.9046,40.4519,39.8909,40.3014,1410610,1410610,0.013683,0.034,40.3142,"Jun 11, 14",0.1182346379875806
2014-06-12,40.2945,40.363,39.8157,39.9525,1677989,1677989,-0.348901,-0.866,40.0172,"Jun 12, 14",0.10855378161053496
2014-06-13,40.0414,40.274,39.802,40.0209,1054865,1054865,0.068412,0.171,40.0255,"Jun 13, 14",0.11045166231042
2014-06-16,40.0688,40.2672,39.7815,39.8978,1174434,1174434,-0.123141,-0.308,39.9382,"Jun 16, 14",0.10703603198650391
2014-06-17,39.8635,40.4998,39.8089,40.274,1328510,1328510,0.376266,0.943,40.2432,"Jun 17, 14",0.11747437583587222
2014-06-18,40.2672,40.5819,40.0414,40.5477,1114749,1114749,0.273645,0.679,40.3689,"Jun 18, 14",0.12506867331479848
2014-06-19,40.4998,40.7324,39.7815,40.103,3149546,3149546,-0.444673,-1.097,40.0484,"Jun 19, 14",0.11272967408615943
2014-06-20,39.5694,40.4006,39.5694,40.2056,2029378,2029378,0.102616,0.256,40.2561,"Jun 20, 14",0.11557649513598699
2014-06-23,40.1646,40.2672,39.6583,39.7541,1435625,1435625,-0.451519,-1.123,39.8497,"Jun 23, 14",0.10304881770911378
2014-06-24,39.6994,40.0141,39.3915,39.4394,1125825,1125825,-0.314694,-0.792,39.6982,"Jun 24, 14",0.09431690168201066
2014-06-25,39.412,39.7472,39.2752,39.6583,1060501,1060501,0.218916,0.555,39.6375,"Jun 25, 14",0.10039067485752017
2014-06-26,39.672,39.7199,39.2684,39.5557,1102367,1102367,-0.102616,-0.259,39.5108,"Jun 26, 14",0.09754385380769261
2014-06-27,39.4405,39.8656,39.2039,39.4268,1519046,1519046,-0.128906,-0.326,40.5197,"Jun 27, 14",0.09396729207940027
2014-06-30,39.4268,39.6051,39.2074,39.3856,1314906,1314906,-0.041141,-0.104,39.4901,"Jun 30, 14",0.09282412417245182
2014-07-01,39.5914,40.0713,39.3445,39.941,2010785,2010785,0.555402,1.41,39.7753,"Jul 1, 14",0.10823469348116836
2014-07-02,39.8588,40.1742,39.6188,39.8039,1414957,1414957,-0.137136,-0.343,39.8252,"Jul 2, 14",0.10443060804324061
2014-07-03,39.8999,40.1399,39.784,40.085,600744,600744,0.28113,0.706,40.0663,"Jul 3, 14",0.11223023179671596
2014-07-07,39.9068,39.941,39.6668,39.8519,949243,949243,-0.233134,-0.582,39.7932,"Jul 7, 14",0.10576245414842321
2014-07-08,39.6599,39.7182,39.0291,39.1868,1615912,1615912,-0.66511,-1.669,39.2417,"Jul 8, 14",0.08730806155348748
2014-07-09,39.1182,39.1388,38.7548,39.0154,1278504,1278504,-0.171421,-0.437,38.986,"Jul 9, 14",0.08255226108623151
2014-07-10,38.6794,38.8302,38.4051,38.7343,1189340,1189340,-0.281129,-0.721,38.6805,"Jul 10, 14",0.07475263733275617
2014-07-11,38.6245,38.9057,38.5011,38.8097,1183288,1183288,0.075424,0.195,38.7454,"Jul 11, 14",0.07684474558964714
2014-07-14,39.0291,39.1319,38.8217,38.9605,1487761,1487761,0.150849,0.389,38.9625,"Jul 14, 14",0.08102896210342908
2014-07-15,38.8782,39.0017,38.5011,38.8508,2094496,2094496,-0.109708,-0.282,38.7949,"Jul 15, 14",0.0779851388172097
2014-07-16,39.0017,39.1525,38.9674,39.0565,1868521,1868521,0.205706,0.529,39.0765,"Jul 16, 14",0.08369265431379408
2014-07-17,38.7205,38.7411,37.8051,37.8154,4404085,4404085,-1.2411,-3.178,38.2579,"Jul 17, 14",0.04925610845666778
2014-07-18,38.0006,38.5697,37.9114,38.5011,1706174,1706174,0.685685,1.813,38.3515,"Jul 18, 14",0.06828208500507774
2014-07-21,38.3023,39.0462,38.2543,38.8851,1983914,1983914,0.383984,0.997,38.7581,"Jul 21, 14",0.0789368538465381
2014-07-22,39.0839,39.8862,39.0497,39.5776,2411722,2411722,0.692539,1.781,39.6581,"Jul 22, 14",0.098151508593182
2014-07-23,39.8451,39.9822,39.3891,39.4062,1453645,1453645,-0.171422,-0.433,39.6184,"Jul 23, 14",0.09339570812592604
2014-07-24,39.4954,39.5914,38.8851,38.9742,2534358,2534358,-0.43198,-1.096,39.1759,"Jul 24, 14",0.08140909317928327
2014-07-25,38.7548,38.9022,38.6383,38.7617,1719615,1719615,-0.212562,-0.545,38.7666,"Jul 25, 14",0.07551289948446455
2014-07-28,38.7343,38.7617,38.3228,38.5971,1510223,1510223,-0.164562,-0.425,38.5503,"Jul 28, 14",0.07094577721544272
2014-07-29,38.5971,38.6451,38.3126,38.4188,2003109,2003109,-0.178279,-0.462,38.4679,"Jul 29, 14",0.06599852387056672
2014-07-30,38.5491,38.9502,38.412,38.9331,1371335,1371335,0.514262,1.339,38.733,"Jul 30, 14",0.0802686999517207
2014-07-31,38.5491,38.796,38.2817,38.46,2708121,2708121,-0.473123,-1.215,38.4731,"Jul 31, 14",0.06714169177751517
2014-08-01,38.5285,38.6725,38.1171,38.5765,957560,957560,0.116567,0.303,38.4541,"Aug 1, 14",0.0703741932619687
2014-08-04,38.5285,38.6725,38.1171,38.5765,957560,957560,0,0,38.4541,"Aug 4, 14",0.0703741932619687
