date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-10-04,248.1729,248.9095,248.0452,248.6345,55953619,55953619,0.294637,0.119,248.4893,"Oct 4, 17",0.5268103486920441
2017-10-05,249.0077,250.1273,248.6698,250.1077,63522757,63522757,1.4732,0.593,249.7101,"Oct 5, 17",0.535856949247048
2017-10-06,249.6068,250.1477,249.3121,249.8228,80645998,80645998,-0.284815,-0.114,249.6686,"Oct 6, 17",0.5341074403561163
2017-10-09,250.0782,250.1469,249.1157,249.4103,35803138,35803138,-0.412492,-0.165,249.5313,"Oct 9, 17",0.5315743676375858
2017-10-10,250.0487,250.4907,249.4398,250.0684,43057363,43057363,0.658023,0.264,249.8974,"Oct 10, 17",0.5356156165007735
2017-10-11,249.9603,250.4612,249.7737,250.4612,47674325,47674325,0.392849,0.157,250.1751,"Oct 11, 17",0.5380277158070492
2017-10-12,250.1077,250.5005,249.8179,250.088,47065144,47065144,-0.373207,-0.149,250.1633,"Oct 12, 17",0.5357359758347934
2017-10-13,250.5791,250.7067,250.088,250.3925,54800435,54800435,0.304458,0.122,250.4473,"Oct 13, 17",0.537605844059745
2017-10-16,250.6478,250.9425,250.2648,250.7264,38221675,38221675,0.333923,0.133,250.6041,"Oct 16, 17",0.5396562512857265
2017-10-17,250.6675,250.9523,250.4219,250.9032,31560964,31560964,0.176781,0.071,250.6832,"Oct 17, 17",0.5407419416048443
2017-10-18,251.3255,251.3746,250.9326,251.1487,40888330,40888330,0.245531,0.098,251.1592,"Oct 18, 17",0.5422495036712668
2017-10-19,250.2746,251.2567,249.8032,251.2175,61903788,61903788,0.068749,0.027,250.6167,"Oct 19, 17",0.542671989496806
2017-10-20,252.1112,252.5433,251.2021,252.5139,89176377,89176377,1.2964,0.516,252.1755,"Oct 20, 17",0.5506328997326918
2017-10-23,252.8772,252.9067,251.4433,251.5317,63915306,63915306,-0.982124,-0.389,252.0573,"Oct 23, 17",0.5446014233105326
2017-10-24,252.013,252.2389,251.571,251.9737,66935910,66935910,0.441955,0.176,251.8953,"Oct 24, 17",0.5473156491083279
2017-10-25,251.6005,251.7282,249.4595,250.7264,103715291,103715291,-1.2473,-0.495,250.4168,"Oct 25, 17",0.5396562512857265
